date,traffic,page_name
2018-01-01,232.0,Back to the Future (Japanese Wikipedia)
2018-01-02,306.0,Back to the Future (Japanese Wikipedia)
2018-01-03,340.0,Back to the Future (Japanese Wikipedia)
2018-01-04,318.0,Back to the Future (Japanese Wikipedia)
2018-01-05,271.0,Back to the Future (Japanese Wikipedia)
2018-01-06,292.0,Back to the Future (Japanese Wikipedia)
2018-01-07,396.0,Back to the Future (Japanese Wikipedia)
2018-01-08,386.0,Back to the Future (Japanese Wikipedia)
2018-01-09,341.0,Back to the Future (Japanese Wikipedia)
2018-01-10,374.0,Back to the Future (Japanese Wikipedia)
2018-01-11,358.0,Back to the Future (Japanese Wikipedia)
2018-01-12,329.0,Back to the Future (Japanese Wikipedia)
2018-01-13,316.0,Back to the Future (Japanese Wikipedia)
2018-01-14,346.0,Back to the Future (Japanese Wikipedia)
2018-01-15,341.0,Back to the Future (Japanese Wikipedia)
2018-01-16,428.0,Back to the Future (Japanese Wikipedia)
2018-01-17,365.0,Back to the Future (Japanese Wikipedia)
2018-01-18,377.0,Back to the Future (Japanese Wikipedia)
2018-01-19,341.0,Back to the Future (Japanese Wikipedia)
2018-01-20,324.0,Back to the Future (Japanese Wikipedia)
2018-01-21,320.0,Back to the Future (Japanese Wikipedia)
2018-01-22,392.0,Back to the Future (Japanese Wikipedia)
2018-01-23,412.0,Back to the Future (Japanese Wikipedia)
2018-01-24,286.0,Back to the Future (Japanese Wikipedia)
2018-01-25,353.0,Back to the Future (Japanese Wikipedia)
2018-01-26,349.0,Back to the Future (Japanese Wikipedia)
2018-01-27,326.0,Back to the Future (Japanese Wikipedia)
2018-01-28,366.0,Back to the Future (Japanese Wikipedia)
2018-01-29,358.0,Back to the Future (Japanese Wikipedia)
2018-01-30,418.0,Back to the Future (Japanese Wikipedia)
2018-01-31,363.0,Back to the Future (Japanese Wikipedia)
2018-02-01,365.0,Back to the Future (Japanese Wikipedia)
2018-02-02,384.0,Back to the Future (Japanese Wikipedia)
2018-02-03,383.0,Back to the Future (Japanese Wikipedia)
2018-02-04,377.0,Back to the Future (Japanese Wikipedia)
2018-02-05,361.0,Back to the Future (Japanese Wikipedia)
2018-02-06,367.0,Back to the Future (Japanese Wikipedia)
2018-02-07,355.0,Back to the Future (Japanese Wikipedia)
2018-02-08,321.0,Back to the Future (Japanese Wikipedia)
2018-02-09,419.0,Back to the Future (Japanese Wikipedia)
2018-02-10,357.0,Back to the Future (Japanese Wikipedia)
2018-02-11,327.0,Back to the Future (Japanese Wikipedia)
2018-02-12,404.0,Back to the Future (Japanese Wikipedia)
2018-02-13,399.0,Back to the Future (Japanese Wikipedia)
2018-02-14,403.0,Back to the Future (Japanese Wikipedia)
2018-02-15,357.0,Back to the Future (Japanese Wikipedia)
2018-02-16,418.0,Back to the Future (Japanese Wikipedia)
2018-02-17,302.0,Back to the Future (Japanese Wikipedia)
2018-02-18,388.0,Back to the Future (Japanese Wikipedia)
2018-02-19,369.0,Back to the Future (Japanese Wikipedia)
2018-02-20,370.0,Back to the Future (Japanese Wikipedia)
2018-02-21,417.0,Back to the Future (Japanese Wikipedia)
2018-02-22,410.0,Back to the Future (Japanese Wikipedia)
2018-02-23,396.0,Back to the Future (Japanese Wikipedia)
2018-02-24,332.0,Back to the Future (Japanese Wikipedia)
2018-02-25,352.0,Back to the Future (Japanese Wikipedia)
2018-02-26,382.0,Back to the Future (Japanese Wikipedia)
2018-02-27,354.0,Back to the Future (Japanese Wikipedia)
2018-02-28,358.0,Back to the Future (Japanese Wikipedia)
2018-03-01,331.0,Back to the Future (Japanese Wikipedia)
2018-03-02,385.0,Back to the Future (Japanese Wikipedia)
2018-03-03,400.0,Back to the Future (Japanese Wikipedia)
2018-03-04,425.0,Back to the Future (Japanese Wikipedia)
2018-03-05,393.0,Back to the Future (Japanese Wikipedia)
2018-03-06,375.0,Back to the Future (Japanese Wikipedia)
2018-03-07,353.0,Back to the Future (Japanese Wikipedia)
2018-03-08,392.0,Back to the Future (Japanese Wikipedia)
2018-03-09,375.0,Back to the Future (Japanese Wikipedia)
2018-03-10,410.0,Back to the Future (Japanese Wikipedia)
2018-03-11,349.0,Back to the Future (Japanese Wikipedia)
2018-03-12,363.0,Back to the Future (Japanese Wikipedia)
2018-03-13,357.0,Back to the Future (Japanese Wikipedia)
2018-03-14,394.0,Back to the Future (Japanese Wikipedia)
2018-03-15,417.0,Back to the Future (Japanese Wikipedia)
2018-03-16,401.0,Back to the Future (Japanese Wikipedia)
2018-03-17,403.0,Back to the Future (Japanese Wikipedia)
2018-03-18,459.0,Back to the Future (Japanese Wikipedia)
2018-03-19,412.0,Back to the Future (Japanese Wikipedia)
2018-03-20,351.0,Back to the Future (Japanese Wikipedia)
2018-03-21,348.0,Back to the Future (Japanese Wikipedia)
2018-03-22,432.0,Back to the Future (Japanese Wikipedia)
2018-03-23,388.0,Back to the Future (Japanese Wikipedia)
2018-03-24,324.0,Back to the Future (Japanese Wikipedia)
2018-03-25,340.0,Back to the Future (Japanese Wikipedia)
2018-03-26,304.0,Back to the Future (Japanese Wikipedia)
2018-03-27,349.0,Back to the Future (Japanese Wikipedia)
2018-03-28,391.0,Back to the Future (Japanese Wikipedia)
2018-03-29,363.0,Back to the Future (Japanese Wikipedia)
2018-03-30,350.0,Back to the Future (Japanese Wikipedia)
2018-03-31,365.0,Back to the Future (Japanese Wikipedia)
2018-04-01,351.0,Back to the Future (Japanese Wikipedia)
2018-04-02,365.0,Back to the Future (Japanese Wikipedia)
2018-04-03,357.0,Back to the Future (Japanese Wikipedia)
2018-04-04,362.0,Back to the Future (Japanese Wikipedia)
2018-04-05,285.0,Back to the Future (Japanese Wikipedia)
2018-04-06,333.0,Back to the Future (Japanese Wikipedia)
2018-04-07,329.0,Back to the Future (Japanese Wikipedia)
2018-04-08,282.0,Back to the Future (Japanese Wikipedia)
2018-04-09,398.0,Back to the Future (Japanese Wikipedia)
2018-04-10,305.0,Back to the Future (Japanese Wikipedia)
2018-04-11,352.0,Back to the Future (Japanese Wikipedia)
2018-04-12,386.0,Back to the Future (Japanese Wikipedia)
2018-04-13,417.0,Back to the Future (Japanese Wikipedia)
2018-04-14,328.0,Back to the Future (Japanese Wikipedia)
2018-04-15,378.0,Back to the Future (Japanese Wikipedia)
2018-04-16,433.0,Back to the Future (Japanese Wikipedia)
2018-04-17,425.0,Back to the Future (Japanese Wikipedia)
2018-04-18,406.0,Back to the Future (Japanese Wikipedia)
2018-04-19,435.0,Back to the Future (Japanese Wikipedia)
2018-04-20,679.0,Back to the Future (Japanese Wikipedia)
2018-04-21,733.0,Back to the Future (Japanese Wikipedia)
2018-04-22,842.0,Back to the Future (Japanese Wikipedia)
2018-04-23,852.0,Back to the Future (Japanese Wikipedia)
2018-04-24,886.0,Back to the Future (Japanese Wikipedia)
2018-04-25,739.0,Back to the Future (Japanese Wikipedia)
